% 
% 
@RELATION GCH 
@ATTRIBUTE 1 REAL
@ATTRIBUTE 2 REAL
@ATTRIBUTE 3 REAL
@ATTRIBUTE 4 REAL
@ATTRIBUTE 5 REAL
@ATTRIBUTE 6 REAL
@ATTRIBUTE 7 REAL
@ATTRIBUTE 8 REAL
@ATTRIBUTE 9 REAL
@ATTRIBUTE 10 REAL
@ATTRIBUTE 11 REAL
@ATTRIBUTE 12 REAL
@ATTRIBUTE 13 REAL
@ATTRIBUTE 14 REAL
@ATTRIBUTE 15 REAL
@ATTRIBUTE 16 REAL
@ATTRIBUTE 17 REAL
@ATTRIBUTE 18 REAL
@ATTRIBUTE 19 REAL
@ATTRIBUTE 20 REAL
@ATTRIBUTE 21 REAL
@ATTRIBUTE 22 REAL
@ATTRIBUTE 23 REAL
@ATTRIBUTE 24 REAL
@ATTRIBUTE 25 REAL
@ATTRIBUTE 26 REAL
@ATTRIBUTE 27 REAL
@ATTRIBUTE 28 REAL
@ATTRIBUTE 29 REAL
@ATTRIBUTE 30 REAL
@ATTRIBUTE 31 REAL
@ATTRIBUTE 32 REAL
@ATTRIBUTE 33 REAL
@ATTRIBUTE 34 REAL
@ATTRIBUTE 35 REAL
@ATTRIBUTE 36 REAL
@ATTRIBUTE 37 REAL
@ATTRIBUTE 38 REAL
@ATTRIBUTE 39 REAL
@ATTRIBUTE 40 REAL
@ATTRIBUTE 41 REAL
@ATTRIBUTE 42 REAL
@ATTRIBUTE 43 REAL
@ATTRIBUTE 44 REAL
@ATTRIBUTE 45 REAL
@ATTRIBUTE 46 REAL
@ATTRIBUTE 47 REAL
@ATTRIBUTE 48 REAL
@ATTRIBUTE 49 REAL
@ATTRIBUTE 50 REAL
@ATTRIBUTE 51 REAL
@ATTRIBUTE 52 REAL
@ATTRIBUTE 53 REAL
@ATTRIBUTE 54 REAL
@ATTRIBUTE 55 REAL
@ATTRIBUTE 56 REAL
@ATTRIBUTE 57 REAL
@ATTRIBUTE 58 REAL
@ATTRIBUTE 59 REAL
@ATTRIBUTE 60 REAL
@ATTRIBUTE 61 REAL
@ATTRIBUTE 62 REAL
@ATTRIBUTE 63 REAL
@ATTRIBUTE 64 REAL
@ATTRIBUTE 65 REAL
@ATTRIBUTE 66 REAL
@ATTRIBUTE class {C02, C01, C03} 

@DATA 
26827.0,375.0,373.0,355.0,333.0,336.0,318.0,301.0,306.0,291.0,297.0,278.0,275.0,265.0,270.0,263.0,249.0,254.0,264.0,241.0,254.0,7275.0,26827.0,375.0,373.0,355.0,333.0,336.0,318.0,301.0,306.0,291.0,297.0,278.0,275.0,265.0,270.0,263.0,249.0,254.0,264.0,241.0,254.0,7275.0,26827.0,375.0,373.0,355.0,333.0,336.0,318.0,301.0,306.0,291.0,297.0,278.0,275.0,265.0,270.0,263.0,249.0,254.0,264.0,241.0,254.0,7275.0,C01
38530.0,623.0,620.0,227.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38530.0,623.0,620.0,227.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38530.0,623.0,620.0,227.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C01
28907.0,233.0,261.0,246.0,239.0,235.0,245.0,235.0,222.0,221.0,230.0,217.0,210.0,227.0,203.0,200.0,214.0,197.0,213.0,191.0,218.0,6636.0,28907.0,233.0,261.0,246.0,239.0,235.0,245.0,235.0,222.0,221.0,230.0,217.0,210.0,227.0,203.0,200.0,214.0,197.0,213.0,191.0,218.0,6636.0,28907.0,233.0,261.0,246.0,239.0,235.0,245.0,235.0,222.0,221.0,230.0,217.0,210.0,227.0,203.0,200.0,214.0,197.0,213.0,191.0,218.0,6636.0,C01
30992.0,364.0,370.0,356.0,343.0,340.0,350.0,321.0,337.0,318.0,323.0,328.0,323.0,323.0,324.0,339.0,334.0,353.0,369.0,365.0,380.0,2148.0,30992.0,364.0,370.0,356.0,343.0,340.0,350.0,321.0,337.0,318.0,323.0,328.0,323.0,323.0,324.0,339.0,334.0,353.0,369.0,365.0,380.0,2148.0,30992.0,364.0,370.0,356.0,343.0,340.0,350.0,321.0,337.0,318.0,323.0,328.0,323.0,323.0,324.0,339.0,334.0,353.0,369.0,365.0,380.0,2148.0,C01
29225.0,272.0,270.0,275.0,260.0,254.0,264.0,245.0,249.0,244.0,234.0,247.0,228.0,236.0,228.0,228.0,222.0,236.0,210.0,232.0,209.0,5932.0,29225.0,272.0,270.0,275.0,260.0,254.0,264.0,245.0,249.0,244.0,234.0,247.0,228.0,236.0,228.0,228.0,222.0,236.0,210.0,232.0,209.0,5932.0,29225.0,272.0,270.0,275.0,260.0,254.0,264.0,245.0,249.0,244.0,234.0,247.0,228.0,236.0,228.0,228.0,222.0,236.0,210.0,232.0,209.0,5932.0,C01
31037.0,221.0,234.0,216.0,214.0,226.0,222.0,204.0,212.0,216.0,203.0,213.0,199.0,202.0,208.0,192.0,207.0,201.0,212.0,193.0,209.0,4759.0,31037.0,221.0,234.0,216.0,214.0,226.0,222.0,204.0,212.0,216.0,203.0,213.0,199.0,202.0,208.0,192.0,207.0,201.0,212.0,193.0,209.0,4759.0,31037.0,221.0,234.0,216.0,214.0,226.0,222.0,204.0,212.0,216.0,203.0,213.0,199.0,202.0,208.0,192.0,207.0,201.0,212.0,193.0,209.0,4759.0,C01
32312.0,383.0,383.0,374.0,362.0,362.0,375.0,371.0,364.0,374.0,367.0,379.0,402.0,415.0,434.0,465.0,479.0,450.0,450.0,475.0,24.0,0.0,32312.0,383.0,383.0,374.0,362.0,362.0,375.0,371.0,364.0,374.0,367.0,379.0,402.0,415.0,434.0,465.0,479.0,450.0,450.0,475.0,24.0,0.0,32312.0,383.0,383.0,374.0,362.0,362.0,375.0,371.0,364.0,374.0,367.0,379.0,402.0,415.0,434.0,465.0,479.0,450.0,450.0,475.0,24.0,0.0,C01
32257.0,263.0,280.0,268.0,263.0,267.0,267.0,248.0,255.0,268.0,248.0,266.0,254.0,258.0,259.0,256.0,278.0,278.0,279.0,298.0,287.0,2403.0,32257.0,263.0,280.0,268.0,263.0,267.0,267.0,248.0,255.0,268.0,248.0,266.0,254.0,258.0,259.0,256.0,278.0,278.0,279.0,298.0,287.0,2403.0,32257.0,263.0,280.0,268.0,263.0,267.0,267.0,248.0,255.0,268.0,248.0,266.0,254.0,258.0,259.0,256.0,278.0,278.0,279.0,298.0,287.0,2403.0,C01
38658.0,643.0,635.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38658.0,643.0,635.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38658.0,643.0,635.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C01
31603.0,319.0,321.0,310.0,317.0,304.0,301.0,286.0,307.0,290.0,303.0,296.0,290.0,287.0,314.0,300.0,299.0,324.0,329.0,337.0,350.0,2213.0,31603.0,319.0,321.0,310.0,317.0,304.0,301.0,286.0,307.0,290.0,303.0,296.0,290.0,287.0,314.0,300.0,299.0,324.0,329.0,337.0,350.0,2213.0,31603.0,319.0,321.0,310.0,317.0,304.0,301.0,286.0,307.0,290.0,303.0,296.0,290.0,287.0,314.0,300.0,299.0,324.0,329.0,337.0,350.0,2213.0,C01
